timestamp,x,y,z
1.752047840128754854e+09,4.477364569902420044e-02,7.347048819065093994e-02,3.523829951882362366e-02
1.752047840205163002e+09,4.456951096653938293e-02,7.326891273260116577e-02,3.280220925807952881e-02
1.752047840314586163e+09,4.396981745958328247e-02,7.243885099887847900e-02,3.696438297629356384e-02
1.752047840415014982e+09,4.379778727889060974e-02,7.223082333803176880e-02,3.477065637707710266e-02
1.752047840524455547e+09,4.431120306253433228e-02,7.850895076990127563e-02,3.518673032522201538e-02
1.752047840624723673e+09,4.413020610809326172e-02,7.830233126878738403e-02,3.306199610233306885e-02
1.752047840734599352e+09,4.801091179251670837e-02,7.550317049026489258e-02,3.532125800848007202e-02
1.752047840842006922e+09,4.068870097398757935e-02,7.710465043783187866e-02,3.701683133840560913e-02
1.752047840944732189e+09,4.051527008414268494e-02,7.689262926578521729e-02,3.485007956624031067e-02
1.752047841044620037e+09,4.172077029943466187e-02,7.315918058156967163e-02,3.728009760379791260e-02
1.752047841155331850e+09,4.153392463922500610e-02,7.295315712690353394e-02,3.517831861972808838e-02
1.752047841264477253e+09,4.438003152608871460e-02,7.811029255390167236e-02,3.524337336421012878e-02
1.752047841374732971e+09,4.420333355665206909e-02,7.789986580610275269e-02,3.320538252592086792e-02
1.752047841484750986e+09,4.029365628957748413e-02,7.840623706579208374e-02,3.433179110288619995e-02
1.752047841584359407e+09,4.012906551361083984e-02,7.822467386722564697e-02,3.252695500850677490e-02
1.752047841694470644e+09,4.224191606044769287e-02,7.726202905178070068e-02,3.424846008419990540e-02
1.752047841794413328e+09,4.206392541527748108e-02,7.709117233753204346e-02,3.249295055866241455e-02
1.752047841894800186e+09,4.408742859959602356e-02,7.320386916399002075e-02,3.702593594789505005e-02
1.752047842005219698e+09,4.393156617879867554e-02,7.297565042972564697e-02,3.516029939055442810e-02
1.752047842104920387e+09,4.555493593215942383e-02,7.655523717403411865e-02,3.476320952177047729e-02
1.752047842205274105e+09,4.543662816286087036e-02,7.636965811252593994e-02,3.314032033085823059e-02
1.752047842304936409e+09,4.114633053541183472e-02,7.912056893110275269e-02,3.686530888080596924e-02
1.752047842414840698e+09,4.102598130702972412e-02,7.894868403673171997e-02,3.515713289380073547e-02
1.752047842524402380e+09,4.504897072911262512e-02,7.505679875612258911e-02,3.280090913176536560e-02
1.752047842626986980e+09,4.499674960970878601e-02,7.489964365959167480e-02,3.127610310912132263e-02
1.752047842734652281e+09,4.085190221667289734e-02,7.733523100614547729e-02,3.269117698073387146e-02
1.752047842834716558e+09,4.810135439038276672e-02,8.061178028583526611e-02,3.496707603335380554e-02
1.752047842944664001e+09,4.808619245886802673e-02,8.048648387193679810e-02,3.345742449164390564e-02
1.752047843047751427e+09,4.805673286318778992e-02,8.036746084690093994e-02,3.209225088357925415e-02
1.752047843154344320e+09,4.312611371278762817e-02,7.722004503011703491e-02,3.406117111444473267e-02
1.752047843264288664e+09,4.327819496393203735e-02,8.036636561155319214e-02,3.417419269680976868e-02
1.752047843364338875e+09,4.326059669256210327e-02,8.030180633068084717e-02,3.295148909091949463e-02
1.752047843464960575e+09,4.992554709315299988e-02,8.197119832038879395e-02,3.540475666522979736e-02
1.752047843564556837e+09,4.997640475630760193e-02,8.195855468511581421e-02,3.423243761062622070e-02
1.752047843674463511e+09,4.876529052853584290e-02,7.431258261203765869e-02,3.493263199925422668e-02
1.752047843774901152e+09,4.882288724184036255e-02,7.429615408182144165e-02,3.378043323755264282e-02
1.752047843875091791e+09,4.401405155658721924e-02,8.015078306198120117e-02,3.432977572083473206e-02
1.752047843974989891e+09,4.405454173684120178e-02,8.015656471252441406e-02,3.314968943595886230e-02
1.752047844075294971e+09,3.890716284513473511e-02,7.733440399169921875e-02,3.378219529986381531e-02
1.752047844184377909e+09,3.894636034965515137e-02,7.734475284814834595e-02,3.247345983982086182e-02
1.752047844284905434e+09,4.868602752685546875e-02,7.561701536178588867e-02,3.162957355380058289e-02
1.752047844394442320e+09,4.874830693006515503e-02,7.559855282306671143e-02,3.037086687982082367e-02
1.752047844494496107e+09,5.272163078188896179e-02,7.694866508245468140e-02,3.012867458164691925e-02
1.752047844605140209e+09,5.282496288418769836e-02,7.692200690507888794e-02,2.888366580009460449e-02
1.752047844715674639e+09,4.978981614112854004e-02,7.825601845979690552e-02,3.286170959472656250e-02
1.752047844816355944e+09,4.991697892546653748e-02,7.822951674461364746e-02,3.174629807472229004e-02
1.752047844924482822e+09,4.776892811059951782e-02,7.358592003583908081e-02,3.234019502997398376e-02
1.752047845025952578e+09,4.788640514016151428e-02,7.355503737926483154e-02,3.119122423231601715e-02
1.752047845134324789e+09,4.089663177728652954e-02,7.685071229934692383e-02,3.082298487424850464e-02
1.752047845234551430e+09,4.721248149871826172e-02,7.664692401885986328e-02,3.126877546310424805e-02
1.752047845346092939e+09,4.729584604501724243e-02,7.662680000066757202e-02,3.006372228264808655e-02
1.752047845454708099e+09,4.737930744886398315e-02,7.659944891929626465e-02,2.888724952936172485e-02
1.752047845564353943e+09,4.412917047739028931e-02,8.076844364404678345e-02,3.197599202394485474e-02
1.752047845674885750e+09,4.476274177432060242e-02,7.819446176290512085e-02,3.162033110857009888e-02
1.752047845775247574e+09,4.485083743929862976e-02,7.815474271774291992e-02,3.059715032577514648e-02
1.752047845885392666e+09,3.847215324640274048e-02,7.265836745500564575e-02,3.312937915325164795e-02
1.752047845984663248e+09,3.851131349802017212e-02,7.261952757835388184e-02,3.214884176850318909e-02
1.752047846094640493e+09,4.363244771957397461e-02,7.815048843622207642e-02,3.069444932043552399e-02
1.752047846205080271e+09,4.366000369191169739e-02,7.811404764652252197e-02,2.960884198546409607e-02
1.752047846315068007e+09,4.253264516592025757e-02,7.412203401327133179e-02,2.977737411856651306e-02
1.752047846414870024e+09,4.254962876439094543e-02,7.407199591398239136e-02,2.878069505095481873e-02
1.752047846515541553e+09,4.538494348526000977e-02,7.343102991580963135e-02,3.234333172440528870e-02
1.752047846625452995e+09,4.117980226874351501e-02,7.955002784729003906e-02,3.334005177021026611e-02
1.752047846734387159e+09,4.120067507028579712e-02,7.949133962392807007e-02,3.226531669497489929e-02
1.752047846834369659e+09,4.587765783071517944e-02,7.957589626312255859e-02,3.358134999871253967e-02
1.752047846944796324e+09,4.590377956628799438e-02,7.947377115488052368e-02,3.250702470541000366e-02
1.752047847054514885e+09,4.093812406063079834e-02,7.512819766998291016e-02,3.115741722285747528e-02
1.752047847154459715e+09,4.096840322017669678e-02,7.500942051410675049e-02,3.018468059599399567e-02
1.752047847264425278e+09,4.317277669906616211e-02,7.497517019510269165e-02,3.363374993205070496e-02
1.752047847375545263e+09,4.320421814918518066e-02,7.484766095876693726e-02,3.265878558158874512e-02
1.752047847484342337e+09,4.104676842689514160e-02,7.938195019960403442e-02,3.048469685018062592e-02
1.752047847584363937e+09,4.108304530382156372e-02,7.926438748836517334e-02,2.962034381926059723e-02
1.752047847694445610e+09,4.444802924990653992e-02,8.170447498559951782e-02,3.308689966797828674e-02
1.752047847804898977e+09,4.450784996151924133e-02,8.164726197719573975e-02,3.215114772319793701e-02
1.752047847915776014e+09,4.034303873777389526e-02,7.898442447185516357e-02,3.135490790009498596e-02
1.752047848016354561e+09,4.039876908063888550e-02,7.894352078437805176e-02,3.051621280610561371e-02
1.752047848124571800e+09,4.521783441305160522e-02,7.526208460330963135e-02,3.322047367691993713e-02
1.752047848225324392e+09,4.527898505330085754e-02,7.520621269941329956e-02,3.239695727825164795e-02
1.752047848334458113e+09,4.280375316739082336e-02,8.080540597438812256e-02,3.202844411134719849e-02
1.752047848435940504e+09,4.201428964734077454e-02,7.963751256465911865e-02,3.229978680610656738e-02
1.752047848544590235e+09,4.211315512657165527e-02,7.955723255872726440e-02,3.142637759447097778e-02
1.752047848644544125e+09,3.790267556905746460e-02,7.825128734111785889e-02,3.216318041086196899e-02
1.752047848745267868e+09,3.801099956035614014e-02,7.820245623588562012e-02,3.143545612692832947e-02
1.752047848854547739e+09,4.049377515912055969e-02,7.329897582530975342e-02,3.206375986337661743e-02
1.752047848957290649e+09,4.061989486217498779e-02,7.321234047412872314e-02,3.138590604066848755e-02
1.752047849064653158e+09,4.624997824430465698e-02,7.560485601425170898e-02,3.361418470740318298e-02
1.752047849164558411e+09,4.641961678862571716e-02,7.549705356359481812e-02,3.296975418925285339e-02
1.752047849274517059e+09,4.729802161455154419e-02,7.973692566156387329e-02,3.119016252458095551e-02
1.752047849374939680e+09,4.748862609267234802e-02,7.961063832044601440e-02,3.055007942020893097e-02
1.752047849485108852e+09,4.388307407498359680e-02,7.961496710777282715e-02,3.296687081456184387e-02
1.752047849594350815e+09,4.407459869980812073e-02,7.947468757629394531e-02,3.232355788350105286e-02
1.752047849694812536e+09,4.757418110966682434e-02,7.639343291521072388e-02,3.276775404810905457e-02
1.752047849804890633e+09,4.774573817849159241e-02,7.626364380121231079e-02,3.218610584735870361e-02
1.752047849914879560e+09,4.165665060281753540e-02,7.782597094774246216e-02,3.326418250799179077e-02
1.752047850024615765e+09,4.342487826943397522e-02,7.024595141410827637e-02,3.346545621752738953e-02
1.752047850134734869e+09,4.359747469425201416e-02,7.011891156435012817e-02,3.288529068231582642e-02
1.752047850237402201e+09,3.995428234338760376e-02,7.882697880268096924e-02,3.183370828628540039e-02
1.752047850345928669e+09,4.011896252632141113e-02,7.875304669141769409e-02,3.126143291592597961e-02
1.752047850454519272e+09,4.536719247698783875e-02,8.095211535692214966e-02,3.349158540368080139e-02
1.752047850554682255e+09,4.553603753447532654e-02,8.089710026979446411e-02,3.295016288757324219e-02
1.752047850664420366e+09,4.535576328635215759e-02,7.816821336746215820e-02,3.384082764387130737e-02
1.752047850764702082e+09,4.552285745739936829e-02,7.815165817737579346e-02,3.326665610074996948e-02
1.752047850874377489e+09,4.383379966020584106e-02,7.819795608520507812e-02,3.155705332756042480e-02
1.752047850974783897e+09,4.400597140192985535e-02,7.821735739707946777e-02,3.096055053174495697e-02
1.752047851084615231e+09,4.536722227931022644e-02,7.717798650264739990e-02,3.127998858690261841e-02
1.752047851184600115e+09,4.556486755609512329e-02,7.718230783939361572e-02,3.066317550837993622e-02
1.752047851294371128e+09,4.891090095043182373e-02,7.845046371221542358e-02,3.152845054864883423e-02
1.752047851394520283e+09,4.910846427083015442e-02,7.847392559051513672e-02,3.093518875539302826e-02
1.752047851505100250e+09,4.707733169198036194e-02,7.927183061838150024e-02,3.199652954936027527e-02
1.752047851614962816e+09,4.731677472591400146e-02,7.930980622768402100e-02,3.136133030056953430e-02
1.752047851724390984e+09,4.409399256110191345e-02,7.564924657344818115e-02,3.005970455706119537e-02
1.752047851824510813e+09,4.427315667271614075e-02,7.567943632602691650e-02,2.950033731758594513e-02
1.752047851934296608e+09,4.686611518263816833e-02,7.757471501827239990e-02,3.132777288556098938e-02
1.752047852035340071e+09,4.529472067952156067e-02,7.785169035196304321e-02,3.292116522789001465e-02
1.752047852144327879e+09,4.552246630191802979e-02,7.788902521133422852e-02,3.232043236494064331e-02
1.752047852245522976e+09,4.393576458096504211e-02,7.406923174858093262e-02,3.118557855486869812e-02
1.752047852354594469e+09,4.416798055171966553e-02,7.409856468439102173e-02,3.060277365148067474e-02
1.752047852464344501e+09,4.306035116314888000e-02,7.728374004364013672e-02,3.231459856033325195e-02
1.752047852564367533e+09,4.328979551792144775e-02,7.734433561563491821e-02,3.178455308079719543e-02
1.752047852674208403e+09,4.145643860101699829e-02,7.843100279569625854e-02,3.086057119071483612e-02
1.752047852774661779e+09,4.170046746730804443e-02,7.851456850767135620e-02,3.032292611896991730e-02
1.752047852875056028e+09,4.020622372627258301e-02,7.801153510808944702e-02,3.017459437251091003e-02
1.752047852984405756e+09,4.044869542121887207e-02,7.810188829898834229e-02,2.961965650320053101e-02
1.752047853084722042e+09,4.548817873001098633e-02,7.529152929782867432e-02,3.110824897885322571e-02
1.752047853184374571e+09,4.571942239999771118e-02,7.536587119102478027e-02,3.058566525578498840e-02
1.752047853291869164e+09,4.729828611016273499e-02,7.586785405874252319e-02,2.974051795899868011e-02
1.752047853394376755e+09,4.755117371678352356e-02,7.599156349897384644e-02,2.918263711035251617e-02
1.752047853494364262e+09,4.486307129263877869e-02,7.905176281929016113e-02,2.886557206511497498e-02
1.752047853605398655e+09,4.925223812460899353e-02,8.114095032215118408e-02,3.009352646768093109e-02
1.752047853714925766e+09,6.110696494579315186e-02,8.506902307271957397e-02,3.725672140717506409e-02
1.752047853815116405e+09,8.085557818412780762e-02,8.602239191532135010e-02,4.453360661864280701e-02
1.752047853915669441e+09,8.351844549179077148e-02,8.075191825628280640e-02,6.293526291847229004e-02
1.752047854024952650e+09,1.124623715877532959e-01,7.321450859308242798e-02,5.484902113676071167e-02
1.752047854134391069e+09,1.720080971717834473e-01,8.321540057659149170e-02,4.912135004997253418e-02
1.752047854234653473e+09,2.396830618381500244e-01,1.038640886545181274e-01,3.580671176314353943e-02
1.752047854334504604e+09,3.035572469234466553e-01,1.130492538213729858e-01,4.191306978464126587e-02
1.752047854444863796e+09,3.710593581199645996e-01,1.415729075670242310e-01,8.961851894855499268e-02
1.752047854546774864e+09,4.431648850440979004e-01,1.516752392053604126e-01,8.109521120786666870e-02
1.752047854646631956e+09,5.139735937118530273e-01,1.631233692169189453e-01,1.458547413349151611e-01
1.752047854754207850e+09,5.859156847000122070e-01,1.670206636190414429e-01,3.288225531578063965e-01
1.752047854854586840e+09,6.284383535385131836e-01,1.994208395481109619e-01,3.292061686515808105e-01
1.752047854954638958e+09,7.115852832794189453e-01,2.224227190017700195e-01,4.168866872787475586e-01
1.752047855054740906e+09,8.058599233627319336e-01,2.394064962863922119e-01,2.434003800153732300e-01
1.752047855165620327e+09,8.865135312080383301e-01,2.534513175487518311e-01,3.604007959365844727e-01
1.752047855274803162e+09,9.151585698127746582e-01,2.541494667530059814e-01,3.037646412849426270e-01
1.752047855384586811e+09,1.002438187599182129e+00,2.732575237751007080e-01,4.102400541305541992e-01
1.752047855484587669e+09,1.121562957763671875e+00,2.855380773544311523e-01,2.601948976516723633e-01
1.752047855594754696e+09,1.199760913848876953e+00,2.996754944324493408e-01,3.810230195522308350e-01
1.752047855705342770e+09,1.231484889984130859e+00,3.001061677932739258e-01,2.887060046195983887e-01
1.752047855818889618e+09,1.315428137779235840e+00,3.144072890281677246e-01,3.975470364093780518e-01
1.752047855916335106e+09,1.395183682441711426e+00,2.998114228248596191e-01,2.489710897207260132e-01
1.752047856024536610e+09,1.478412508964538574e+00,3.114966154098510742e-01,3.592974245548248291e-01
1.752047856125185966e+09,1.542427301406860352e+00,2.939416766166687012e-01,2.176452428102493286e-01
1.752047856234930515e+09,1.609430909156799316e+00,3.019546568393707275e-01,1.157869175076484680e-01
1.752047856334687233e+09,1.686604499816894531e+00,3.110107183456420898e-01,2.150694727897644043e-01
1.752047856444505453e+09,1.771181702613830566e+00,3.178297877311706543e-01,1.366852521896362305e-01
1.752047856545291185e+09,1.844436526298522949e+00,3.240209817886352539e-01,2.370492666959762573e-01
1.752047856654247999e+09,1.923022031784057617e+00,3.072038292884826660e-01,1.183133795857429504e-01
1.752047856754438639e+09,2.003987312316894531e+00,3.119228184223175049e-01,2.124707996845245361e-01
1.752047856854928017e+09,2.037436962127685547e+00,3.161022365093231201e-01,6.790955364704132080e-02
1.752047856965045214e+09,2.119031190872192383e+00,3.220764696598052979e-01,1.745101362466812134e-01
1.752047857075245142e+09,2.185665607452392578e+00,3.190619647502899170e-01,8.266779780387878418e-02
1.752047857175199747e+09,2.271782159805297852e+00,3.239504694938659668e-01,1.684201955795288086e-01
